# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ADAM12	ADAM12	NM_001288973.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADAM12	ADAM12	NM_001288974.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADAM12	ADAM12	NM_001288975.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADAM12	ADAM12	NM_003474.6	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADAM12	ADAM12	NM_021641.5	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADAM28	ADAM28	NM_001304351.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADAM28	ADAM28	NM_014265.6	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADAM28	ADAM28	NM_021777.4	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADAM28	ADAM28	NR_130709.1		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADAM28	ADAM28	NR_130710.2		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADAM3A	ADAM3A	NR_001569.3		0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ADAM3A	ADAM3A	NR_024106.2		0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ADAM3A	ADAM3A	NR_024107.2		0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ADAM3A	ADAM3A	NR_073423.1		0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ADAMTS12	ADAMTS12	NM_001324512.2	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ADAMTS12	ADAMTS12	NM_030955.4	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ADAMTS16	ADAMTS16	NM_139056.4	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ADAMTS16	ADAMTS16	NR_136935.2		0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ADAMTS18	ADAMTS18	NM_001326358.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADAMTS18	ADAMTS18	NM_199355.4	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADAMTS19	ADAMTS19	NM_133638.5	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ADAMTS20	ADAMTS20	NM_025003.5	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADAMTS3	ADAMTS3	NM_014243.3	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADAMTS4	ADAMTS4	NM_005099.6	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ADAMTS9-AS2	ADAMTS9-AS2	NR_038264.1		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADAMTSL1	ADAMTSL1	NM_001040272.6	protein_coding	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
ADAMTSL1	ADAMTSL1	NM_052866.5	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADAMTSL4	ADAMTSL4	NM_001288607.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ADAMTSL4	ADAMTSL4	NM_001288608.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ADAMTSL4	ADAMTSL4	NM_019032.5	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ADAMTSL4	ADAMTSL4	NM_025008.5	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ADAMTSL4-AS1	ADAMTSL4-AS1	NR_104133.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ADAMTSL5	ADAMTSL5	NM_001367197.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ADAMTSL5	ADAMTSL5	NM_213604.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ADARB2	ADARB2	NM_018702.4	protein_coding	0	0	0	5	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
ADARB2-AS1	ADARB2-AS1	NR_033387.2		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADAT1	ADAT1	NM_001324444.2	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAT1	ADAT1	NM_001324445.2	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAT1	ADAT1	NM_001324446.2	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAT1	ADAT1	NM_001324448.2	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAT1	ADAT1	NM_001324449.2	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAT1	ADAT1	NM_001324450.2	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAT1	ADAT1	NM_001324451.2	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAT1	ADAT1	NM_001324452.2	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAT1	ADAT1	NM_001324453.2	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAT1	ADAT1	NM_012091.5	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADCY1	ADCY1	NM_001281768.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADCY1	ADCY1	NM_021116.4	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADCY2	ADCY2	NM_020546.3	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADCY3	ADCY3	NM_001320613.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADCY3	ADCY3	NM_004036.5	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADCY8	ADCY8	NM_001115.3	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ADGB	ADGB	NM_024694.4	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ADGRB3	ADGRB3	NM_001704.3	protein_coding	0	0	0	5	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0
ADGRD1	ADGRD1	NM_001330497.2	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ADGRD1	ADGRD1	NM_198827.5	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ADGRE2	ADGRE2	NM_001271052.1	protein_coding	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
ADGRE2	ADGRE2	NM_013447.4	protein_coding	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
ADGRG1	ADGRG1	NM_001145770.3	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADGRG1	ADGRG1	NM_001145771.3	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADGRG1	ADGRG1	NM_001145772.3	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADGRG1	ADGRG1	NM_001145773.3	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADGRG1	ADGRG1	NM_001145774.3	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADGRG1	ADGRG1	NM_001290142.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADGRG1	ADGRG1	NM_001290143.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADGRG1	ADGRG1	NM_001290144.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADGRG1	ADGRG1	NM_001370428.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADGRG1	ADGRG1	NM_001370429.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADGRG1	ADGRG1	NM_001370430.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADGRG1	ADGRG1	NM_001370431.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADGRG1	ADGRG1	NM_001370432.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADGRG1	ADGRG1	NM_001370433.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADGRG1	ADGRG1	NM_001370434.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADGRG1	ADGRG1	NM_001370435.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADGRG1	ADGRG1	NM_001370436.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADGRG1	ADGRG1	NM_001370437.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADGRG1	ADGRG1	NM_001370438.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADGRG1	ADGRG1	NM_001370439.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADGRG1	ADGRG1	NM_001370440.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADGRG1	ADGRG1	NM_001370441.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADGRG1	ADGRG1	NM_001370442.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADGRG1	ADGRG1	NM_001370451.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADGRG1	ADGRG1	NM_001370453.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADGRG1	ADGRG1	NM_001370454.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADGRG1	ADGRG1	NM_005682.7	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADGRG1	ADGRG1	NM_201524.4	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADGRG1	ADGRG1	NM_201525.4	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADGRG5	ADGRG5	NM_001304376.3	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADGRG5	ADGRG5	NM_001318481.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADGRG5	ADGRG5	NM_153837.4	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADGRG6	ADGRG6	NM_001032394.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADGRG6	ADGRG6	NM_001032395.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADGRG6	ADGRG6	NM_020455.5	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADGRG6	ADGRG6	NM_198569.3	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADGRL1	ADGRL1	NM_001008701.3	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ADGRL1	ADGRL1	NM_014921.5	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ADGRL2	ADGRL2	NM_001297704.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADGRL2	ADGRL2	NM_001297705.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADGRL2	ADGRL2	NM_001297706.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADGRL2	ADGRL2	NM_001330645.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADGRL2	ADGRL2	NM_001350698.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADGRL2	ADGRL2	NM_001350699.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADGRL2	ADGRL2	NM_001366002.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADGRL2	ADGRL2	NM_001366003.1	protein_coding	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
ADGRL2	ADGRL2	NM_001366004.1	protein_coding	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
ADGRL2	ADGRL2	NM_001366005.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADGRL2	ADGRL2	NM_001366006.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
